order,crop,country,community,indicator,bin,value
184,ABE,Zimbabwe,Zimbabwe,Healthcare,2017/18,4.6
185,ABE,Zimbabwe,Zimbabwe,Healthcare,2018/19,6.4
186,ABE,Zimbabwe,Zimbabwe,Healthcare,2019/20,4.9
187,ABE,Zimbabwe,Zimbabwe,Healthcare,2020/21,6.4
188,ABE,Zimbabwe,Zimbabwe,Healthcare,2021/22,5.0
189,ABE,Zimbabwe,Zimbabwe,Healthcare,2022/23,5.0
190,ABE,Zimbabwe,Birchenough,Healthcare,Baseline,4.0
191,ABE,Zimbabwe,Birchenough,Healthcare,2015/16,4.0
192,ABE,Zimbabwe,Birchenough,Healthcare,2016/17,6.0
193,ABE,Zimbabwe,Birchenough,Healthcare,2017/18,6.5
194,ABE,Zimbabwe,Birchenough,Healthcare,2018/19,7.0
195,ABE,Zimbabwe,Birchenough,Healthcare,2019/20,7.0
196,ABE,Zimbabwe,Birchenough,Healthcare,2020/21,7.0
197,ABE,Zimbabwe,Birchenough,Healthcare,2021/22,7.3
198,ABE,Zimbabwe,Birchenough,Healthcare,2022/23,7.3
199,ABE,Zimbabwe,Zaka,Healthcare,Baseline,5.0
200,ABE,Zimbabwe,Zaka,Healthcare,2015/16,6.0
201,ABE,Zimbabwe,Zaka,Healthcare,2016/17,0.0
202,ABE,Zimbabwe,Zaka,Healthcare,2017/18,6.0
203,ABE,Zimbabwe,Zaka,Healthcare,2018/19,6.0
204,ABE,Zimbabwe,Zaka,Healthcare,2019/20,6.0
205,ABE,Zimbabwe,Zaka,Healthcare,2020/21,6.0
206,ABE,Zimbabwe,Zaka,Healthcare,2021/22,6.0
207,ABE,Zimbabwe,Zaka,Healthcare,2022/23,6.3
208,ABE,Zimbabwe,Ruware,Healthcare,Baseline,5.0
209,ABE,Zimbabwe,Ruware,Healthcare,2015/16,6.0
210,ABE,Zimbabwe,Ruware,Healthcare,2016/17,6.0
211,ABE,Zimbabwe,Ruware,Healthcare,2017/18,6.0
212,ABE,Zimbabwe,Ruware,Healthcare,2018/19,6.5
213,ABE,Zimbabwe,Ruware,Healthcare,2019/20,6.5
214,ABE,Zimbabwe,Ruware,Healthcare,2020/21,6.5
215,ABE,Zimbabwe,Ruware,Healthcare,2021/22,6.5
216,ABE,Zimbabwe,Ruware,Healthcare,2022/23,6.5
217,ABE,Zimbabwe,Gokwe,Healthcare,Baseline,0.0
218,ABE,Zimbabwe,Gokwe,Healthcare,2015/16,0.0
219,ABE,Zimbabwe,Gokwe,Healthcare,2016/17,0.0
220,ABE,Zimbabwe,Gokwe,Healthcare,2017/18,0.0
221,ABE,Zimbabwe,Gokwe,Healthcare,2018/19,6.0
222,ABE,Zimbabwe,Gokwe,Healthcare,2019/20,0.0
223,ABE,Zimbabwe,Gokwe,Healthcare,2020/21,6.0
224,ABE,Zimbabwe,Gokwe,Healthcare,2021/22,0.0
225,ABE,Zimbabwe,Gokwe,Healthcare,2022/23,0.0
226,ABE,Zimbabwe,Zimbabwe,Housing,Baseline,5.3
227,ABE,Zimbabwe,Zimbabwe,Housing,2015/16,5.0
228,ABE,Zimbabwe,Zimbabwe,Housing,2016/17,5.3
229,ABE,Zimbabwe,Zimbabwe,Housing,2017/18,5.3
230,ABE,Zimbabwe,Zimbabwe,Housing,2018/19,7.0
231,ABE,Zimbabwe,Zimbabwe,Housing,2019/20,5.8
232,ABE,Zimbabwe,Zimbabwe,Housing,2020/21,5.8
233,ABE,Zimbabwe,Zimbabwe,Housing,2021/22,5.9
234,ABE,Zimbabwe,Zimbabwe,Housing,2022/23,5.9
235,ABE,Zimbabwe,Birchenough,Housing,Baseline,6.0
236,ABE,Zimbabwe,Birchenough,Housing,2015/16,8.0
237,ABE,Zimbabwe,Birchenough,Housing,2016/17,8.0
238,ABE,Zimbabwe,Birchenough,Housing,2017/18,8.0
239,ABE,Zimbabwe,Birchenough,Housing,2018/19,8.0
240,ABE,Zimbabwe,Birchenough,Housing,2019/20,8.5
241,ABE,Zimbabwe,Birchenough,Housing,2020/21,8.5
242,ABE,Zimbabwe,Birchenough,Housing,2021/22,8.7
243,ABE,Zimbabwe,Birchenough,Housing,2022/23,8.7
244,ABE,Zimbabwe,Zaka,Housing,Baseline,4.0
245,ABE,Zimbabwe,Zaka,Housing,2015/16,6.0
246,ABE,Zimbabwe,Zaka,Housing,2016/17,0.0
247,ABE,Zimbabwe,Zaka,Housing,2017/18,6.5
248,ABE,Zimbabwe,Zaka,Housing,2018/19,6.5
249,ABE,Zimbabwe,Zaka,Housing,2019/20,7.5
250,ABE,Zimbabwe,Zaka,Housing,2020/21,7.5
251,ABE,Zimbabwe,Zaka,Housing,2021/22,7.5
252,ABE,Zimbabwe,Zaka,Housing,2022/23,7.5
253,ABE,Zimbabwe,Ruware,Housing,Baseline,5.0
254,ABE,Zimbabwe,Ruware,Housing,2015/16,6.0
255,ABE,Zimbabwe,Ruware,Housing,2016/17,6.0
256,ABE,Zimbabwe,Ruware,Housing,2017/18,6.5
257,ABE,Zimbabwe,Ruware,Housing,2018/19,6.5
258,ABE,Zimbabwe,Ruware,Housing,2019/20,7.0
259,ABE,Zimbabwe,Ruware,Housing,2020/21,0.0
260,ABE,Zimbabwe,Ruware,Housing,2021/22,7.3
261,ABE,Zimbabwe,Ruware,Housing,2022/23,7.3
262,ABE,Zimbabwe,Gokwe,Housing,Baseline,6.0
263,ABE,Zimbabwe,Gokwe,Housing,2015/16,0.0
264,ABE,Zimbabwe,Gokwe,Housing,2016/17,7.0
265,ABE,Zimbabwe,Gokwe,Housing,2017/18,0.0
266,ABE,Zimbabwe,Gokwe,Housing,2018/19,7.0
267,ABE,Zimbabwe,Gokwe,Housing,2019/20,0.0
268,ABE,Zimbabwe,Gokwe,Housing,2020/21,7.0
269,ABE,Zimbabwe,Gokwe,Housing,2021/22,0.0
270,ABE,Zimbabwe,Gokwe,Housing,2022/23,0.0
271,ABE,Zimbabwe,Zimbabwe,Water,Baseline,3.5
272,ABE,Zimbabwe,Zimbabwe,Water,2015/16,3.8
273,ABE,Zimbabwe,Zimbabwe,Water,2016/17,4.5
274,ABE,Zimbabwe,Zimbabwe,Water,2017/18,4.1
275,ABE,Zimbabwe,Zimbabwe,Water,2018/19,5.9
276,ABE,Zimbabwe,Zimbabwe,Water,2019/20,5.3
277,ABE,Zimbabwe,Zimbabwe,Water,2020/21,5.4
278,ABE,Zimbabwe,Zimbabwe,Water,2021/22,4.0
279,ABE,Zimbabwe,Zimbabwe,Water,2022/23,4.1
280,ABE,Zimbabwe,Birchenough,Water,Baseline,5.0
281,ABE,Zimbabwe,Birchenough,Water,2015/16,6.0
282,ABE,Zimbabwe,Birchenough,Water,2016/17,7.0
283,ABE,Zimbabwe,Birchenough,Water,2017/18,7.0
284,ABE,Zimbabwe,Birchenough,Water,2018/19,7.0
285,ABE,Zimbabwe,Birchenough,Water,2019/20,7.0
286,ABE,Zimbabwe,Birchenough,Water,2020/21,7.0
287,ABE,Zimbabwe,Birchenough,Water,2021/22,7.0
288,ABE,Zimbabwe,Birchenough,Water,2022/23,7.5
289,ABE,Zimbabwe,Zaka,Water,Baseline,5.0
290,ABE,Zimbabwe,Zaka,Water,2015/16,5.0
291,ABE,Zimbabwe,Zaka,Water,2016/17,0.0
292,ABE,Zimbabwe,Zaka,Water,2017/18,5.0
293,ABE,Zimbabwe,Zaka,Water,2018/19,5.0
294,ABE,Zimbabwe,Zaka,Water,2019/20,4.5
295,ABE,Zimbabwe,Zaka,Water,2020/21,4.5
296,ABE,Zimbabwe,Zaka,Water,2021/22,4.5
